id,hall_id,hall_num
7277,200,16a
7290,200,16a
7278,200,16a
7275,200,16a
7280,200,16a
7276,200,16a
7291,200,16a
7281,200,16a
7279,200,16a
3668,187,2
8725,187,2
8727,187,2
8729,187,2
8728,187,2
8726,187,2
8721,187,2
8720,187,2
8718,187,2
8717,187,2
8722,187,2
8719,187,2
8724,187,2
8723,187,2
8704,187,2
8707,187,2
8706,187,2
8711,187,2
8709,187,2
8713,187,2
8710,187,2
8705,187,2
8712,187,2
8708,187,2
3718,189,4
3663,189,4
8762,189,4
8738,189,4
3719,189,4
9237,189,4
8745,189,4
8754,189,4
8744,189,4
8751,189,4
8740,189,4
8750,189,4
8742,189,4
8753,189,4
8749,189,4
8752,189,4
8743,189,4
8741,189,4
8739,189,4
7233,197,14
7240,197,14
7244,197,14
7245,197,14
7269,197,14
7242,197,14
7260,197,14
7261,197,14
7265,197,14
7266,197,14
7226,197,14
7262,197,14
7270,197,14
7271,197,14
7272,197,14
7267,197,14
7251,197,14
7248,197,14
7263,197,14
7238,197,14
7246,197,14
7254,197,14
7232,197,14
7255,197,14
7247,197,14
7236,197,14
7249,197,14
7258,197,14
7259,197,14
7273,197,14
7256,197,14
7257,197,14
7235,197,14
7243,197,14
7231,197,14
7234,197,14
7253,197,14
7241,197,14
7239,197,14
7237,197,14
7230,197,14
7228,197,14
7252,197,14
7264,197,14
7227,197,14
7250,197,14
7229,197,14
3931,199,16
7338,199,16
7336,199,16
7337,199,16
7342,199,16
7363,199,16
7353,199,16
7334,199,16
7347,199,16
7333,199,16
7335,199,16
7361,199,16
7350,199,16
7352,199,16
7359,199,16
7357,199,16
7358,199,16
7356,199,16
7351,199,16
7293,199,16
7365,199,16
7360,199,16
7346,199,16
7348,199,16
7332,199,16
7341,199,16
7345,199,16
7362,199,16
7268,199,16
7364,199,16
7292,199,16
7355,199,16
7339,199,16
7349,199,16
7340,199,16
8771,199,16
7343,199,16
7354,199,16
7344,199,16
8764,208,24
7315,208,24
7324,208,24
7321,208,24
7322,208,24
